<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: 2011-2013.csv>
index,season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
0,2011,Frans Nielsen,NYI,F,82,17.4526,29,58,66,3,652,68,707,74,14.119831
1,2011,Jaroslav Spacek,CAR,D,46,16.0837,29,14,68,4,365,23,420,36,22.336795
2,2011,Kyle Quincey,DET,D,72,21.8597,101,24,94,39,732,76,835,74,14.748841
3,2011,Carter Ashton,TOR,F,15,10.4167,32,4,2,5,77,10,51,0,16.970347
4,2011,Josh Gorges,MTL,D,82,22.6268,131,20,250,19,929,78,746,70,29.045878
5,2011,Nicklas Lidstrom,DET,D,70,23.7707,41,27,79,15,711,60,1036,99,14.01191
6,2011,Dustin Penner,L.A,F,65,14.3208,90,27,16,14,368,27,490,25,19.940944
7,2011,Loui Eriksson,DAL,F,82,19.7618,20,50,40,6,800,70,848,96,9.443506
8,2011,Raphael Diaz,MTL,D,59,18.0045,40,13,102,15,528,39,496,36,18.601644
9,2011,Jay McClement,COL,F,80,13.7527,72,34,54,13,599,58,400,30,13.967083
10,2011,Andrew Ebbett,VAN,F,18,9.5833,15,4,9,3,78,5,96,10,17.349138
11,2011,Taylor Hall,EDM,F,61,18.2186,44,35,34,18,475,46,614,73,12.545479
12,2011,Jeff Taffe,MIN,F,5,12.91,7,0,2,0,43,2,26,4,16.883173
13,2011,Adam Pardy,DAL,D,36,16.4694,39,9,49,7,314,31,284,21,16.997978
14,2011,Max Pacioretty,MTL,F,79,18.2608,104,33,39,25,650,62,855,90,14.356161
15,2011,Jonathan Ericsson,DET,D,69,17.0908,128,9,43,22,549,37,562,44,19.753627
16,2011,David Clarkson,N.J,F,80,16.3592,169,32,19,37,474,46,701,71,19.647316
17,2011,Tommy Wingels,S.J,F,33,13.748,102,14,23,6,184,12,259,12,44.290388
18,2011,Jordan Staal,PIT,F,62,20.0301,101,39,23,17,560,56,679,65,16.145342
19,2011,Rene Bourque,MTL,F,76,17.8268,86,32,25,22,659,65,581,45,11.535336
20,2011,Kristopher Foucault,MIN,F,1,8.8333,0,0,0,0,4,0,2,0,0.0
21,2011,Wayne Simmonds,PHI,F,82,15.9055,140,30,34,32,553,46,808,78,18.090259
22,2011,Mike Fisher,NSH,F,72,19.2968,116,44,76,15,709,58,627,85,21.505
23,2011,Trent Hunter,L.A,F,38,10.0987,72,3,6,4,157,12,189,10,25.676318
24,2011,Eric Wellwood,PHI,F,24,10.9569,16,13,12,1,125,6,125,16,22.272574
25,2011,Jeff Schultz,WSH,D,54,15.279,49,10,58,6,471,38,328,25,15.636151
26,2011,Jeff Halpern,WSH,F,69,12.608,55,22,44,12,413,44,327,24,13.632719
27,2011,Pavel Kubina,PHI,D,69,19.2713,130,18,119,29,692,70,607,60,19.791206
28,2011,Sean O'Donnell,CHI,D,51,13.5118,46,11,44,10,372,40,320,23,13.026953
29,2011,Jed Ortmeyer,MIN,F,35,9.7186,53,14,14,6,188,16,117,4,19.591525
30,2011,Maxime Macenauer,ANA,F,29,10.8149,17,14,4,9,190,18,86,5,7.853118
31,2011,Ryan Garbutt,DAL,F,20,8.2825,48,1,3,8,74,7,99,5,21.72596
32,2011,Lars Eller,MTL,F,79,15.3112,72,42,55,27,577,51,489,39,14.608651
33,2011,Cody Franson,TOR,D,57,16.1904,102,20,53,11,431,39,476,45,22.839753
34,2011,Kent Huskins,STL,D,25,15.468,6,0,35,5,184,8,183,17,16.468822
35,2011,Matt Martin,NYI,F,82,12.3498,374,36,41,32,516,45,428,20,37.968695
36,2011,Mark Fayne,N.J,D,80,20.1562,83,20,85,13,686,65,690,64,16.780604
37,2011,Brendan Mikkelson,T.B,D,41,14.4004,42,4,44,5,256,22,257,23,20.099481
38,2011,Brett Sterling,STL,F,4,7.5625,1,1,0,0,10,2,25,1,6.0199
39,2011,Mark Fraser,N.J,D,6,16.7306,7,2,6,4,45,7,39,3,10.957151
40,2011,Evgeni Malkin,PIT,F,75,21.0016,29,52,41,34,616,66,1155,132,9.433148
41,2011,Ryan Russell,CBJ,F,41,11.6768,37,11,44,1,239,22,161,6,21.165051
42,2011,Duncan Keith,CHI,D,74,26.8946,45,48,121,16,1001,99,1069,114,14.058657
43,2011,Michael Del Zotto,NYR,D,77,22.4381,156,28,95,18,726,56,865,95,26.23273
44,2011,Jason Chimera,WSH,F,82,14.4329,132,23,27,29,574,55,597,53,14.704674
45,2011,Tom Pyatt,T.B,F,74,14.7944,40,17,52,4,589,65,393,28,10.017237
46,2011,Cody Goloubef,CBJ,D,1,6.0,1,0,0,0,5,0,4,1,12.0
47,2011,Samuel Pahlsson,VAN,F,80,14.7735,123,44,37,17,641,56,439,31,17.527523
48,2011,Pierre-Marc Bouchard,MIN,F,37,16.3239,3,22,9,3,260,19,363,34,8.96445
49,2011,David McIntyre,MIN,F,7,10.9143,8,1,3,1,46,4,24,2,13.022727
50,2011,Dylan Olsen,CHI,D,28,13.0274,43,6,23,3,198,18,157,10,19.890186
51,2011,Rhett Rakhshani,NYI,F,5,12.1467,1,2,1,1,38,1,18,1,7.799658
52,2011,Chad Rau,MIN,F,9,10.8889,2,6,5,0,46,3,35,2,17.99435
53,2011,Daniel Winnik,S.J,F,84,16.6931,95,55,50,24,697,60,659,36,15.904081
54,2011,Chris Kelly,BOS,F,82,14.7354,79,35,56,16,634,44,569,64,16.500731
55,2011,Brenden Dillon,DAL,D,1,19.9833,4,0,3,0,11,2,14,0,27.446043
56,2011,Marc-Antoine Pouliot,ARI,F,13,11.1885,10,2,1,1,82,8,78,6,7.961306
57,2011,David Van Der Gulik,COL,F,25,8.2027,32,8,11,1,101,10,80,11,21.876142
58,2011,Zach Bogosian,WPG,D,65,23.3162,117,17,109,23,766,78,757,66,18.154276
59,2011,Davis Drewiske,L.A,D,9,12.5648,5,1,5,1,40,2,53,2,17.789298
60,2011,Patrik Berglund,STL,F,82,17.963,97,39,36,15,661,46,724,57,17.587299
61,2011,Cory Sarich,CGY,D,62,16.1086,144,9,60,27,458,31,412,29,24.643647
62,2011,Sheldon Brookbank,ANA,D,80,15.6054,120,12,110,21,663,44,472,43,22.514718
