season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2018,Lawson Crouse,ARI,F,81,12.9654,288,25,44,19,576,43,479,38,33.54449
2018,Ilya Lyubushkin,ARI,D,41,13.6882,149,6,61,5,291,25,267,17,42.138802
2018,Bogdan Kiselevich,FLA,D,32,14.85,49,4,22,7,225,18,232,14,18.679245
2018,Trent Frederic,BOS,F,15,9.3456,18,5,3,1,67,5,61,1,19.743062
2018,Auston Matthews,TOR,F,68,18.5468,28,57,60,6,656,70,857,93,13.019669
2018,Rasmus Dahlin,BUF,D,82,21.115,97,38,66,17,846,79,1090,95,14.772218
2018,Troy Brouwer,FLA,F,75,12.682,176,23,38,13,507,49,433,32,23.240325
2018,Frans Nielsen,DET,F,72,16.6606,79,18,44,7,614,66,558,59,12.835298
2018,Matt Niskanen,WSH,D,80,21.9206,167,40,137,19,1008,97,758,63,21.236654
2018,Andrej Sustr,ANA,D,5,12.04,3,0,7,3,35,2,25,1,12.647059
2018,Andrew Shaw,MTL,F,63,15.9079,128,16,36,19,515,47,600,63,18.297559
2018,Jordan Weal,MTL,F,63,13.4413,28,19,26,9,353,32,468,35,10.853017
2018,Brady Skjei,NYR,D,78,21.2169,178,32,119,22,961,91,740,68,20.784094
2018,Patrick Eaves,ANA,F,7,13.8786,14,1,1,1,57,6,38,3,14.405264
2018,Mikhail Sergachev,T.B,D,75,17.9204,97,18,93,14,622,58,752,74,19.492271
2018,Michael Stone,CGY,D,14,15.9357,27,6,16,5,122,14,100,9,18.382519
2018,Brenden Dillon,S.J,D,82,17.7299,199,16,78,25,620,61,784,73,24.221037
2018,Micheal Haley,S.J,F,43,8.0911,76,3,16,15,150,13,148,11,20.413021
2018,Brendan Guhle,ANA,D,8,14.9187,9,1,7,2,63,4,65,2,16.629375
2018,Brett Ritchie,DAL,F,53,9.6066,126,7,13,19,252,17,219,13,23.460616
2018,Anton Blidh,BOS,F,1,13.7667,6,1,1,0,4,0,5,0,275.333333
2018,Matt Beleskey,NYR,F,4,7.3708,7,0,1,1,16,0,8,1,25.230879
2018,Leo Komarov,NYI,F,82,13.8661,203,28,38,21,652,38,455,47,25.37226
2018,Kevin Fiala,MIN,F,83,15.6249,42,44,20,17,610,61,776,55,9.056713
2018,Anton Lindholm,COL,D,2,7.175,1,0,1,0,8,1,9,0,9.456343
2018,Dmitrij Jaskin,WSH,F,37,10.0856,87,13,14,3,193,19,180,14,27.712803
2018,Robert Hagg,PHI,D,82,16.9211,258,4,158,23,873,81,631,60,26.993628
2018,Nick Cousins,ARI,F,81,13.5685,115,39,51,16,546,48,605,48,19.666116
2018,Johan Larsson,BUF,F,73,14.2781,112,29,44,15,581,57,423,28,16.416465
2018,Artturi Lehkonen,MTL,F,82,15.5463,119,46,39,16,741,64,679,58,15.979453
2018,Sidney Crosby,PIT,F,79,20.9876,85,54,43,12,777,83,1063,139,13.785587
2018,Andrew Mangiapane,CGY,F,44,10.5102,43,16,17,6,188,11,247,20,21.784407
2018,Valeri Nichushkin,DAL,F,57,11.9006,71,24,32,0,313,26,332,23,24.282412
2018,Thomas Hickey,NYI,D,40,18.4917,40,9,71,14,412,37,306,29,16.375477
2018,Victor Hedman,T.B,D,70,22.7664,59,32,97,22,809,68,893,125,14.97593
2018,Anthony Peluso,CGY,F,4,4.1125,4,2,0,2,7,1,5,0,12.760181
2018,Justin Williams,CAR,F,82,17.4293,55,63,32,22,587,61,993,87,12.855786
2018,Chad Ruhwedel,PIT,D,18,16.2778,40,7,16,2,160,19,147,6,20.435071
2018,Jordie Benn,MTL,D,81,18.1856,124,19,128,16,802,80,731,70,19.343211
2018,Radko Gudas,PHI,D,77,17.8303,255,23,132,25,805,74,629,56,28.443017
2018,Joakim Ryan,S.J,D,44,12.7769,43,11,39,5,277,33,307,30,15.583172
2018,Mattias Janmark,DAL,F,81,15.1936,28,30,44,12,636,45,544,32,10.317655
2018,Karl Alzner,MTL,D,9,17.3,13,1,10,1,81,6,66,4,20.544285
2018,Andrei Svechnikov,CAR,F,82,14.6628,123,34,26,31,531,49,794,60,15.746801
2018,Joel Edmundson,STL,D,64,19.2354,128,9,103,31,627,61,591,52,19.262237
2018,John Tavares,TOR,F,82,19.0614,59,53,53,16,839,85,1060,132,11.378079
2018,Jake Gardiner,TOR,D,62,21.1911,61,25,64,12,680,51,736,79,15.774712
2018,Pierre-Edouard Bellemare,VGK,F,76,12.4311,71,38,51,3,500,48,467,33,17.539711
2018,Michael Amadio,L.A,F,43,10.1895,16,19,13,3,208,22,215,21,10.569637
2018,Victor Olofsson,BUF,F,6,18.0167,2,1,3,1,44,3,75,5,9.313613
2018,Patrik Berglund,BUF,F,23,12.9754,25,6,16,3,164,13,120,7,16.410993
2018,Cam Fowler,ANA,D,59,23.3579,32,24,90,10,753,62,657,59,14.006479
2018,Chris Wagner,BOS,F,76,13.4555,247,21,38,16,501,42,474,32,32.131418
2018,Oscar Klefbom,EDM,D,61,23.9667,44,26,102,8,745,73,800,67,15.345519
2018,Alexander Steen,STL,F,65,15.8159,55,34,50,7,462,44,491,45,17.329269
2018,Robert Thomas,STL,F,70,13.0276,13,36,21,6,403,40,478,48,9.098675
2018,Colin Blackwell,NSH,F,6,9.7389,10,2,3,1,29,1,31,0,30.134082
2018,Sam Reinhart,BUF,F,82,18.9295,38,39,47,8,770,78,1035,100,9.788651
2018,Brady Keeper,FLA,D,1,12.4333,2,0,1,0,2,0,8,1,186.5
2018,Frank Vatrano,FLA,F,81,14.6323,138,33,74,20,547,52,697,58,22.398354
2018,Nick Ritchie,ANA,F,60,14.995,123,20,31,26,437,32,469,51,19.967169
2018,Adam Johnson,PIT,F,6,5.3056,11,2,3,0,20,1,18,3,33.545554
2018,Ryan Dzingel,CBJ,F,78,16.8152,54,25,38,13,753,78,691,84,8.616817
2018,Dominik Simon,PIT,F,71,13.3169,89,33,19,9,419,30,539,46,20.010282
2018,John Hayden,CHI,F,54,9.1611,97,14,23,9,274,27,209,14,20.331051
2018,Kalle Kossila,ANA,F,8,10.3042,5,0,3,2,45,4,29,1,7.716671
2018,Tyler Pitlick,DAL,F,47,13.3713,93,11,27,3,319,26,299,22,24.7838
2018,Braydon Coburn,T.B,D,74,16.1047,96,17,61,17,610,63,596,52,14.76114
2018,Sam Bennett,CGY,F,71,13.2512,121,25,27,30,431,44,531,47,16.240255
2018,Tyler Myers,WPG,D,80,20.3379,97,32,99,25,956,86,798,84,14.42985
2018,Joseph Gambardella,EDM,F,15,8.1033,14,5,5,1,70,4,41,6,17.597346
2018,Ben Harpur,OTT,D,51,17.616,89,16,69,14,592,53,362,27,17.295228
2018,Juho Lammikko,FLA,F,40,10.895,45,12,21,3,231,23,196,9,16.524588
2018,Mark Friedman,PHI,D,1,12.55,1,0,0,0,4,1,3,0,7.583082
2018,Colin Miller,VGK,D,65,19.6056,122,22,64,22,541,48,730,67,21.312764
2018,Mitchell Marner,TOR,F,82,19.8049,29,78,43,11,859,89,1048,132,10.46221
2018,Miro Heiskanen,DAL,D,82,23.0829,34,35,70,8,940,91,1005,79,9.948273
2018,Joseph Blandisi,PIT,F,9,7.4444,10,3,1,3,44,3,28,2,11.754386
2018,Brayden Schenn,STL,F,72,18.4745,111,51,31,17,595,64,836,82,17.048492
2018,John Gilmour,NYR,D,5,16.0767,3,1,13,2,55,4,38,1,18.044588
2018,Brendan Perlini,CHI,F,68,11.5978,51,11,22,13,428,40,406,30,9.343344
2018,Oskar Sundqvist,STL,F,74,13.7378,101,40,31,11,524,51,450,39,17.175468
2018,Ryan Poehling,MTL,F,1,10.7833,1,0,0,0,4,0,13,3,26.958333
2018,Gemel Smith,BOS,F,17,8.3676,13,5,3,0,83,8,56,4,11.719302
2018,Erik Condra,DAL,F,6,12.6833,3,0,1,1,25,3,45,1,6.698944
2018,Justin Braun,S.J,D,78,20.2981,121,34,120,16,793,88,667,50,19.221664
