season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2021,Ilya Lyubushkin,TOR,D,77,17.4576,187,15,92,24,774,79,553,52,19.954383
2021,Dominic Toninato,WPG,F,77,8.3985,92,11,32,11,381,36,214,20,14.615874
2021,Buddy Robinson,ANA,F,32,9.2469,56,7,12,5,164,7,159,8,25.222189
2021,Logan O'Connor,COL,F,81,13.8714,100,38,59,16,607,54,504,42,17.317295
2021,T.J. Tynan,LAK,F,2,10.8417,1,0,2,0,7,0,10,0,46.464286
2021,Declan Chisholm,WPG,D,2,12.95,1,1,1,0,10,0,14,1,38.85
2021,Jayden Halbgewachs,SJS,F,3,13.0944,3,1,0,2,17,2,24,3,7.549648
2021,Shea Theodore,VGK,D,78,23.134,37,60,97,12,831,79,1138,105,15.285075
2021,Nick Merkley,SJS,F,9,12.4111,9,7,2,0,50,6,55,5,17.948581
2021,Kevin Connauton,PHI,D,39,13.0765,74,6,32,2,342,27,270,22,20.306853
2021,Alex Steeves,TOR,F,3,7.9722,1,3,1,0,11,2,9,1,14.793814
2021,Victor Hedman,TBL,D,82,25.0756,93,52,129,18,928,101,1222,160,17.563194
2021,Alexander Kerfoot,TOR,F,82,15.2146,75,36,65,10,707,69,622,73,14.027434
2021,Isaac Ratcliffe,PHI,F,10,10.7467,16,2,8,5,42,3,45,4,21.833715
2021,Johan Larsson,WSH,F,43,15.9101,70,13,25,13,338,43,295,33,13.981597
2021,Matt Grzelcyk,BOS,D,73,18.7272,40,21,83,12,563,48,861,75,15.988759
2021,Charlie McAvoy,BOS,D,78,24.6551,155,29,130,30,896,77,1307,127,21.905756
2021,Pavel Dorofeyev,VGK,F,2,6.5,0,2,1,1,4,1,4,0,11.470588
2021,Simon Benoit,ANA,D,53,14.0925,168,7,39,8,443,34,325,24,29.141312
2021,Brendan Gallagher,MTL,F,56,15.0185,54,17,29,23,396,43,503,45,10.826311
2021,Thomas Hickey,NYI,D,2,19.475,2,1,3,0,24,4,12,0,11.467125
2021,Petteri Lindbohm,FLA,D,9,14.0556,25,4,8,1,74,5,65,5,32.845614
2021,Alex Iafallo,LAK,F,79,18.5027,48,46,53,4,645,69,901,71,13.628816
2021,Jake DeBrusk,BOS,F,77,15.0364,62,35,25,5,537,45,756,56,14.233477
2021,Brett Seney,TOR,F,2,7.0167,3,0,2,0,10,0,2,0,35.083333
2021,Keegan Kolesar,VGK,F,77,12.6504,246,33,46,22,492,48,480,38,29.8461
2021,Brenden Dillon,WPG,D,79,18.8327,212,16,108,27,864,79,724,69,22.123071
2021,Kyle Burroughs,VAN,D,42,12.9365,122,7,59,15,291,23,231,15,31.077216
2021,Cameron Hillis,MTL,F,1,10.25,0,0,0,0,10,0,8,0,0.0
2021,Tyler Ennis,OTT,F,57,12.5427,70,19,24,8,329,29,389,31,17.871146
2021,Sean Kuraly,CBJ,F,77,15.86,240,35,51,24,755,82,534,60,21.223383
2021,Ryan Poehling,MTL,F,57,12.1953,40,21,27,3,369,42,349,24,11.693186
2021,Christian Jaros,NJD,D,11,11.0106,21,1,10,1,48,6,52,2,28.17042
2021,Brayden Pachal,VGK,D,2,9.7583,2,1,1,0,6,2,13,0,15.297191
2021,Nicolas Deslauriers,MIN,F,81,11.3654,263,7,49,27,526,38,354,20,28.66625
2021,Eric Robinson,CBJ,F,67,13.892,95,30,20,9,570,55,403,35,13.805488
2021,Jonathan Marchessault,VGK,F,76,17.5792,61,38,17,13,551,59,951,82,11.224656
2021,Victor Rask,SEA,F,47,12.1954,15,14,5,1,240,25,299,31,7.443153
2021,Matt Martin,NYI,F,71,11.4397,235,11,26,21,356,25,318,24,35.269812
2021,Andrew Peeke,CBJ,D,82,21.4766,191,15,169,27,1119,112,721,65,19.62291
2021,Travis Boyd,ARI,F,74,16.5155,71,20,55,17,687,79,514,69,10.610682
2021,Trevor Zegras,ANA,F,75,17.9071,56,40,27,19,618,76,750,77,9.497231
2021,Danny DeKeyser,DET,D,59,18.5042,49,7,102,13,670,62,481,38,14.207621
2021,Jonas Rondbjerg,VGK,F,30,10.0122,13,8,11,2,146,11,103,10,11.601695
2021,Jason Zucker,PIT,F,41,14.8203,66,15,20,6,285,27,367,32,19.337417
2021,Troy Stecher,LAK,D,29,16.6684,33,7,38,5,274,25,242,14,16.796481
2021,Sam Reinhart,FLA,F,78,17.759,49,37,30,5,609,58,936,129,11.922808
2021,Cale Fleury,SEA,D,2,12.9917,3,0,5,0,12,1,14,0,41.587196
2021,Evander Kane,EDM,F,43,19.4504,135,16,11,25,414,30,551,66,21.236175
2021,Adam Raska,SJS,F,5,8.0567,15,0,0,2,18,0,17,1,35.426031
2021,Anthony Mantha,WSH,F,37,15.1689,46,13,18,7,215,26,320,36,16.322648
2021,Zack Kassian,EDM,F,58,11.7845,154,13,6,18,342,31,348,36,22.173456
2021,Marc McLaughlin,BOS,F,11,10.4864,15,2,2,3,54,5,58,4,14.449169
2021,Andy Andreoff,NYI,F,6,9.9861,11,1,1,0,23,2,16,1,30.210084
2021,Brandon Baddock,MTL,F,1,8.4,6,0,0,0,4,0,1,0,126.0
2021,Nicolas Aube-Kubel,COL,F,74,9.8162,140,17,18,22,363,19,369,30,22.441759
2021,Jakub Zboril,BOS,D,10,15.725,24,1,10,2,67,6,114,7,28.546421
2021,Robin Salo,NYI,D,21,16.6913,7,5,23,2,155,13,144,10,14.411422
2021,Nolan Foote,NJD,F,7,10.3667,8,1,1,0,35,2,38,5,18.600478
2021,Jaycob Megna,SJS,D,44,19.1205,71,18,92,8,442,34,389,28,27.796289
2021,Joel Farabee,PHI,F,63,17.587,73,25,38,17,634,65,567,55,11.520613
2021,Miro Heiskanen,DAL,D,70,24.8871,52,45,92,12,864,70,929,80,16.193053
2021,Mitchell Stephens,DET,F,27,11.1784,21,5,9,4,200,22,104,7,7.974181
2021,Zach Werenski,CBJ,D,68,25.6618,33,39,95,11,981,108,1000,106,10.621512
2021,Nathan Bastian,NJD,F,72,11.9056,210,13,40,18,360,43,426,47,28.825714
2021,J.J. Moser,ARI,D,43,18.693,32,10,55,8,498,54,327,41,10.943023
2021,Linus Hogberg,PHI,D,5,17.0633,0,3,8,1,60,2,39,2,16.880715
2021,Brandon Hagel,TBL,F,77,16.3567,63,53,32,14,647,80,644,71,11.081524
2021,Sean Monahan,CGY,F,65,14.0592,59,32,24,12,411,37,605,42,14.699592
2021,Kevin Labanc,SJS,F,21,13.2913,28,6,9,3,110,8,136,10,22.307406
2021,Andy Greene,NYI,D,69,17.4114,39,14,126,5,703,61,479,39,16.827111
2021,William Karlsson,VGK,F,67,18.2818,42,44,42,5,528,65,794,63,12.944837
2021,Robert Thomas,STL,F,72,18.7766,13,60,25,8,732,82,747,112,7.597803
2021,Morgan Geekie,SEA,F,73,12.6082,55,25,23,9,403,43,473,34,12.267268
2021,David Pastrnak,BOS,F,72,18.6046,63,36,14,10,559,58,1015,110,11.525169
2021,Jonny Brodzinski,NYR,F,22,10.8561,8,5,8,5,119,7,102,5,9.145697
2021,Curtis Lazar,BOS,F,70,11.994,186,17,51,8,405,38,375,24,31.842842
2021,Matias Maccelli,ARI,F,23,14.1971,12,10,8,2,183,19,133,10,8.852181
2021,Ryan Graves,NJD,D,75,20.7136,90,27,135,13,880,106,737,71,15.605236
2021,Juho Lammikko,VAN,F,75,12.276,93,17,46,7,511,51,363,28,15.658573
2021,Mark Scheifele,WPG,F,67,21.1338,36,49,47,10,697,86,896,102,10.234121
2021,Kris Letang,PIT,D,78,25.7774,171,59,122,23,1038,88,1256,142,23.269972
2021,Noah Hanifin,CGY,D,81,21.3074,63,38,84,8,825,82,1054,111,14.3724
