season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
2021,Logan Couture,SJS,F,77,18.9327,92,62,58,9,789,78,834,82,16.475749
2021,Chris Wideman,MTL,D,64,14.876,44,13,46,22,430,54,525,49,9.818357
2021,Dylan DeMelo,WPG,D,76,18.4991,113,17,108,14,810,73,652,52,18.197686
2021,Mattias Janmark,VGK,F,67,14.3443,19,29,28,9,512,47,460,42,8.288467
2021,Kyle Criscuolo,DET,F,6,9.5556,6,0,1,1,24,1,23,2,15.515464
2021,Rasmus Andersson,CGY,D,82,22.6793,63,24,125,16,862,80,1208,136,15.819918
2021,Oliver Kylington,CGY,D,73,18.158,40,24,79,7,603,46,765,88,16.587688
2021,William Nylander,TOR,F,81,18.273,19,59,30,8,727,82,1029,121,8.321431
2021,Kent Johnson,CBJ,F,9,12.4426,4,2,1,1,45,2,57,6,10.579436
2021,Urho Vaakanainen,ANA,D,29,19.3184,27,7,28,5,316,36,250,29,10.809403
2021,Philip Tomasino,NSH,F,76,11.5364,49,17,28,5,374,33,464,44,13.348648
2021,Markus Nutivaara,FLA,D,1,7.0167,1,0,0,0,3,1,4,1,7.004992
2021,Dylan Samberg,WPG,D,15,14.8533,21,6,19,2,117,9,104,11,24.368253
2021,Mason Shaw,MIN,F,3,8.9889,6,3,1,1,16,2,16,0,20.92061
2021,Kole Sherwood,NSH,F,1,8.1333,3,0,0,0,2,0,7,0,122.0
2021,Guillaume Brisebois,VAN,D,1,4.2167,0,0,1,0,3,1,1,0,5.842956
2021,Nicolas Roy,VGK,F,78,16.259,85,34,34,19,660,60,791,74,12.793395
2021,Mikael Backlund,CGY,F,82,17.1183,62,55,27,15,672,59,823,65,12.71453
2021,Zach Sanford,WPG,F,80,14.299,169,36,67,18,625,52,513,41,23.920609
2021,Kevin Stenlund,CBJ,F,3,7.5278,2,1,2,1,14,0,13,0,17.483871
2021,Mason Geertsen,NJD,D,25,6.9567,58,4,7,11,86,11,62,5,20.08018
2021,Jonas Siegenthaler,NJD,D,70,20.5667,98,17,106,18,736,86,676,61,15.809874
2021,Brandon Biro,BUF,F,1,13.5,1,0,0,0,4,0,6,0,33.75
2021,Greg McKegg,NYR,F,43,10.8671,50,14,22,3,275,24,156,8,16.441757
2021,Mitchell Marner,TOR,F,72,20.8829,75,72,31,8,705,91,999,135,13.40768
2021,Alexander Romanov,MTL,D,79,20.3943,227,24,144,17,986,113,711,65,22.147856
2021,Steven Stamkos,TBL,F,81,18.478,93,30,31,18,688,70,921,140,12.297029
2021,Chase Priskie,FLA,D,4,14.0042,3,1,3,1,40,2,38,4,11.952954
2021,Patrik Nemeth,NYR,D,63,16.6347,115,11,102,14,640,57,379,34,20.826883
2021,Andrew Agozzino,OTT,F,1,6.8667,4,0,0,0,2,0,3,0,137.333333
2021,Max McCormick,SEA,F,10,8.1,11,2,3,5,25,1,31,2,17.608696
2021,Cale Makar,COL,D,77,25.668,95,49,110,13,935,75,1349,163,20.41362
2021,Alex Killorn,TBL,F,82,18.697,88,42,26,33,743,78,876,109,10.349007
2021,Ben Jones,VGK,F,2,8.0417,4,0,1,1,14,1,7,1,13.365651
2021,Colin White,OTT,F,24,15.3375,28,4,4,2,143,20,222,20,11.492949
