<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: core-2022.csv>
index,season,player,team,position,gp,avgtoi,hits,takeaways,blocked,minors,shots_against,goals_against,shots_for,goals_for,magpie_score
0,2022,Ryan Reaves,MIN,F,73,9.3208,196,15,24,11,353,27,284,21,30.973062
1,2022,Ilya Lyubushkin,BUF,D,68,15.0088,99,27,104,19,635,72,435,39,17.25322
2,2022,Matt Irwin,WSH,D,61,13.0383,117,9,75,12,393,33,349,23,26.749327
3,2022,Kevin Bahl,NJD,D,42,14.0202,64,8,38,11,264,22,283,24,21.223261
4,2022,Robby Fabbri,DET,F,28,15.9982,49,6,15,6,205,14,189,23,21.332404
5,2022,Michael Bunting,TOR,F,82,15.797,85,49,18,40,618,49,775,88,11.863741
6,2022,Alex Iafallo,LAK,F,59,16.3,27,28,33,10,433,45,520,57,10.789018
7,2022,Jonathan Toews,CHI,F,53,17.7107,9,37,23,15,503,69,479,49,6.13874
8,2022,Erik Johnson,COL,D,63,17.2545,121,16,102,6,660,54,520,41,24.325478
9,2022,Mason Appleton,WPG,F,41,16.0191,47,12,11,4,369,31,329,27,12.061688
10,2022,Adam Henrique,ANA,F,62,18.1801,28,26,46,11,690,75,593,63,8.067537
11,2022,Morgan Frost,PHI,F,81,16.343,85,37,53,12,614,69,690,67,14.759265
12,2022,Ben Hutton,VGK,D,31,15.9941,18,14,34,3,227,16,278,18,19.883863
13,2022,Noel Acciari,TOR,F,77,14.3128,244,33,81,9,577,57,437,34,33.673945
14,2022,Dylan McIlrath,WSH,D,6,11.675,14,0,7,2,36,8,35,2,16.050736
15,2022,Danton Heinen,PIT,F,65,10.7574,76,24,26,6,327,30,374,29,18.976596
16,2022,Adam Ginning,PHI,D,1,16.6667,2,0,2,1,9,2,16,1,11.299435
17,2022,Marcus Johansson,MIN,F,80,16.49,26,31,23,4,646,54,787,80,8.232548
18,2022,Zemgus Girgensons,BUF,F,80,12.9769,96,22,49,7,524,48,444,27,17.509
19,2022,Kent Johnson,CBJ,F,79,14.5165,15,26,30,7,591,64,575,60,6.355605
20,2022,Jonathan Drouin,MTL,F,58,14.908,29,31,23,9,438,45,438,40,9.954413
21,2022,Tyler Angle,CBJ,F,2,11.475,2,1,0,0,14,4,15,1,5.747078
22,2022,Dominik Kubalik,DET,F,81,14.9136,89,12,26,12,550,63,659,71,11.351535
23,2022,Brandon Duhaime,MIN,F,51,10.7569,146,19,18,15,267,15,250,20,33.381147
24,2022,Brett Ritchie,ARI,F,50,10.0503,77,10,9,11,217,18,258,20,18.975586
25,2022,Nathan Smith,ARI,F,4,7.4417,6,3,3,2,13,1,6,0,25.279547
26,2022,Alec Martinez,VGK,D,77,19.2249,48,29,244,13,812,68,686,81,26.047391
27,2022,Juuso Parssinen,NSH,F,45,14.3333,76,26,18,6,314,26,328,35,22.260569
28,2022,Vinni Lettieri,BOS,F,1,9.8333,3,0,0,0,4,1,3,0,21.325301
29,2022,Alexander Edler,LAK,D,64,14.7745,106,6,104,17,460,56,464,43,20.742352
30,2022,Travis Boyd,ARI,F,82,16.5303,39,35,59,13,766,98,574,67,8.453075
31,2022,Kyle Okposo,BUF,F,75,14.6676,78,28,25,18,543,54,519,41,12.016091
32,2022,John Klingberg,MIN,D,67,20.6244,55,22,84,17,851,77,748,69,11.902839
33,2022,Jean-Luc Foudy,COL,F,9,10.0296,2,3,2,3,44,5,44,2,5.651085
34,2022,Rasmus Andersson,CGY,D,79,24.0869,50,29,136,13,922,89,1132,116,15.326704
35,2022,Rasmus Ristolainen,PHI,D,74,19.0241,162,24,142,16,760,85,631,61,23.270774
36,2022,Nate Schmidt,WPG,D,71,18.4674,45,21,85,4,592,35,634,52,21.250683
37,2022,Brendan Gaunce,CBJ,F,5,10.4633,4,1,2,1,30,3,25,2,10.19345
38,2022,Lars Eller,COL,F,84,14.7919,93,40,42,22,632,53,582,46,14.865002
39,2022,Marco Rossi,MIN,F,19,12.5237,6,5,9,4,122,11,90,3,8.08357
40,2022,Alexandre Carrier,NSH,D,43,17.8884,57,14,67,12,420,35,340,25,19.580317
41,2022,Vladislav Kolyachonok,ARI,D,2,13.7583,2,1,2,0,21,2,5,0,14.178976
42,2022,Sean Walker,LAK,D,70,14.8279,77,13,104,18,507,53,540,47,18.442397
43,2022,Dmitri Samorukov,STL,D,2,14.875,0,0,2,1,14,1,7,0,6.8
44,2022,Ryan Johansen,NSH,F,55,15.7627,49,20,19,15,395,40,540,49,10.991878
45,2022,William Bitten,STL,F,4,6.6458,10,1,0,0,11,0,10,1,66.458333
46,2022,Sebastian Aho,NYI,D,71,16.7704,38,14,69,11,560,48,604,59,13.096355
47,2022,Ryan Poehling,PIT,F,53,11.7708,57,29,41,4,379,40,270,20,16.667007
48,2022,Darren Raddysh,TBL,D,17,16.4814,25,3,16,2,155,18,153,13,14.963667
49,2022,Joel Teasdale,MTL,F,2,10.8667,2,1,1,0,11,3,10,1,9.969419
50,2022,Anthony Beauvillier,VAN,F,82,16.2667,78,32,30,11,650,71,703,72,11.479266
51,2022,Karson Kuhlman,WPG,F,47,11.8436,41,15,18,4,275,29,227,17,13.162749
52,2022,Trey Fix-Wolansky,CBJ,F,9,12.9426,11,2,8,0,60,7,51,2,18.047662
53,2022,Craig Smith,WSH,F,64,10.9997,48,22,21,9,342,24,379,30,14.198418
54,2022,Nico Sturm,SJS,F,74,14.7302,100,40,45,10,604,70,490,41,15.288719
55,2022,Thomas Harley,DAL,D,6,16.7917,1,0,8,1,35,2,46,7,17.701318
56,2022,Erik Haula,NJD,F,80,16.631,92,49,54,21,636,69,721,70,15.205657
57,2022,Carl Grundstrom,LAK,F,57,10.752,144,14,17,8,304,37,310,26,23.883062
58,2022,Jackson LaCombe,ANA,D,2,18.475,1,0,9,0,18,2,16,1,33.621474
